T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",,,13.3396,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",,,15.9373,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",,,19.0306,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",,,22.2732,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2016,"Seats held by women in national parliament, as of February (%)",,,22.7371,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2017,"Seats held by women in national parliament, as of February (%)",,,23.3881,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2018,"Seats held by women in national parliament, as of February (%)",,,23.4288,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
1,"Total, all countries or areas",2019,"Seats held by women in national parliament, as of February (%)",,,24.2981,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2000,"Seats held by women in national parliament, as of February (%)",,,10.4459,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2005,"Seats held by women in national parliament, as of February (%)",,,13.9041,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2010,"Seats held by women in national parliament, as of February (%)",,,17.3825,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2015,"Seats held by women in national parliament, as of February (%)",,,22.9575,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2016,"Seats held by women in national parliament, as of February (%)",,,23.2571,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2017,"Seats held by women in national parliament, as of February (%)",,,23.7461,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2018,"Seats held by women in national parliament, as of February (%)",,,23.4347,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
2,Africa,2019,"Seats held by women in national parliament, as of February (%)",,,23.6237,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,4.5376,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,8.7362,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,10.9416,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,21.9711,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2016,"Seats held by women in national parliament, as of February (%)",,,23.2049,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2017,"Seats held by women in national parliament, as of February (%)",,,23.8179,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,22.6357,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
15,Northern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,22.6593,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.5237,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",,,14.4434,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",,,18.3981,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",,,22.6417,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
